country,happiness_rank,happiness_score,economy_gdp_per_capita,health_life_expectancy,freedom,trust_government_corruption,generosity,year
Switzerland,1,7.587000000000001,1.3965100000000001,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2015
Iceland,2,7.561,1.3023200000000001,0.94784,0.6287699999999999,0.14145,0.4363,2015
Denmark,3,7.527,1.32548,0.87464,0.6493800000000001,0.48357,0.34139,2015
Norway,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015
Canada,5,7.4270000000000005,1.32629,0.9056299999999999,0.63297,0.32957,0.45811,2015
Finland,6,7.406000000000001,1.29025,0.8891100000000001,0.64169,0.41372,0.23351,2015
Netherlands,7,7.377999999999999,1.32944,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2015
Sweden,8,7.364,1.33171,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2015
New Zealand,9,7.2860000000000005,1.2501799999999998,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2015
Australia,10,7.284,1.33358,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2015
Israel,11,7.278,1.2285700000000002,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,2015
Costa Rica,12,7.226,0.95578,0.8602700000000001,0.63376,0.10583,0.25497,2015
Austria,13,7.2,1.33723,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2015
Mexico,14,7.187,1.02054,0.8144399999999999,0.48181,0.21311999999999998,0.14074,2015
United States,15,7.119,1.3945100000000001,0.86179,0.54604,0.1589,0.40105,2015
Brazil,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015
Luxembourg,17,6.946000000000001,1.5639100000000001,0.91894,0.61583,0.37798000000000004,0.28034000000000003,2015
Ireland,18,6.94,1.33596,0.89533,0.6177699999999999,0.28703,0.45901000000000003,2015
Belgium,19,6.937,1.30782,0.8966700000000001,0.5845,0.2254,0.2225,2015
United Arab Emirates,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2015
United Kingdom,21,6.867000000000001,1.26637,0.90943,0.59625,0.32066999999999996,0.51912,2015
Oman,22,6.853,1.36011,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2015
Venezuela,23,6.81,1.04424,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,2015
Singapore,24,6.797999999999999,1.52186,1.02525,0.54252,0.4921,0.31105,2015
Panama,25,6.7860000000000005,1.0635299999999999,0.79661,0.5421,0.0927,0.24434,2015
Germany,26,6.75,1.32792,0.89186,0.6147699999999999,0.21843,0.28214,2015
Chile,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363000000000004,2015
Qatar,28,6.611000000000001,1.69042,0.79733,0.6404,0.52208,0.32573,2015
France,29,6.575,1.27778,0.9457899999999999,0.55011,0.20646,0.12332,2015
Argentina,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11450999999999999,2015
Czech Republic,31,6.505,1.17898,0.84483,0.46363999999999994,0.02652,0.10686,2015
Uruguay,32,6.485,1.06166,0.8116,0.6036199999999999,0.24558000000000002,0.2324,2015
Colombia,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18400999999999998,2015
Thailand,34,6.455,0.9669,0.7385,0.5566399999999999,0.031869999999999996,0.5763,2015
Saudi Arabia,35,6.4110000000000005,1.39541,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2015
Spain,36,6.329,1.23011,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2015
Malta,37,6.3020000000000005,1.2074,0.88721,0.60365,0.13585999999999998,0.51752,2015
Taiwan,38,6.297999999999999,1.29098,0.8753,0.3974,0.08129,0.25376,2015
Kuwait,39,6.295,1.5542200000000002,0.72492,0.55499,0.25609,0.16228,2015
Suriname,40,6.269,0.99534,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2015
Trinidad and Tobago,41,6.167999999999999,1.21183,0.61483,0.55884,0.0114,0.31844,2015
El Salvador,42,6.13,0.76454,0.67737,0.4035,0.11775999999999999,0.10692,2015
Guatemala,43,6.122999999999999,0.74553,0.64425,0.57733,0.09472,0.27489,2015
Uzbekistan,44,6.002999999999999,0.63244,0.59772,0.6582100000000001,0.30826,0.22837,2015
Slovakia,45,5.995,1.1689100000000001,0.7890199999999999,0.31751,0.03431,0.16893,2015
Japan,46,5.987,1.27074,0.99111,0.49615,0.1806,0.10705,2015
South Korea,47,5.984,1.24461,0.9653799999999999,0.33208000000000004,0.07857,0.18557,2015
Ecuador,48,5.975,0.8640200000000001,0.79075,0.48573999999999995,0.1809,0.11540999999999998,2015
Bahrain,49,5.96,1.32376,0.74716,0.45492,0.306,0.17362,2015
Italy,50,5.9479999999999995,1.25114,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2015
Bolivia,51,5.89,0.68133,0.5392,0.57414,0.08800000000000001,0.20536,2015
Moldova,52,5.888999999999999,0.59448,0.61826,0.32818,0.01615,0.20951,2015
Paraguay,53,5.877999999999999,0.75985,0.66098,0.53899,0.08242000000000001,0.3424,2015
